,Unnamed: 0,Airline,Flight Number,Date of Departure,From,To,Duration,Total Stops,Price
468,468.0,Air India,AI-721,"Thu, Mar 3",Bangalore,Bagdogra,1h 25m,1 Stop,"2,294"
469,469.0,Go First,G8-227/153,"Thu, Mar 3",Guwahati,Bagdogra,1h 30m,2 Stops,"6,470"
470,470.0,SpiceJet,SG-8263,"Thu, Mar 3",Bangalore,Port Blair,1h 45m,,"4,421"
471,471.0,IndiGo,6E-2106,"Thu, Mar 3",Guwahati,Port Blair,1h 35m,1 Stop,"4,425"
472,472.0,Go First,G8-101,"Mon, Feb 21",Bangalore,Port Blair,4h 50m,2 Stops,"4,425"
473,473.0,Vistara,UK-747,"Mon, Feb 21",Guwahati,Port Blair,5h 20m,2 Stops,"4,473"
474,474.0,Air India,AI-787,"Mon, Feb 21",Bangalore,Port Blair,5h 50m,1 Stop,"4,757"
475,475.0,Go First,G8-519/305,"Mon, Feb 21",Guwahati,Port Blair,7h 50m,2 Stops,"6,488"
476,476.0,Air India,AI-765/549,"Mon, Feb 21",Bangalore,Port Blair,8h 50m,2 Stops,"8,190"
477,477.0,IndiGo,6E-6172/6305,"Mon, Feb 21",Guwahati,Port Blair,5h 40m,2 Stops,"10,112"
478,478.0,Air India,AI-770/485,"Mon, Feb 21",Bangalore,Port Blair,5h 30m,2 Stops,"11,836"
479,479.0,Air India,AI-768/485,"Mon, Feb 21",Guwahati,Port Blair,24h 50m,,"11,836"
480,480.0,IndiGo,6E-613,"Mon, Feb 21",Bangalore,New Delhi,5h 20m,,"1,999"
481,481.0,Vistara,UK-834,"Mon, Feb 21",Mumbai,New Delhi,3h 50m,2 Stops,"2,051"
482,482.0,Air India,AI-440,"Sun, Feb 20",Bangalore,New Delhi,,1 Stop,"2,271"
483,483.0,Air India,AI-539,"Sun, Feb 20",Mumbai,New Delhi,3h 55m,2 Stops,"2,271"
484,484.0,Air India,AI-538,"Sun, Feb 20",Bangalore,New Delhi,3h 45m,,"2,271"
485,485.0,Air India,AI-430,"Sun, Feb 20",Mumbai,New Delhi,3h 50m,,"2,271"
486,486.0,SpiceJet,SG-8104,"Sun, Feb 20",Bangalore,New Delhi,,2 Stops,"2,326"
487,487.0,SpiceJet,SG-8108,"Sun, Feb 20",Mumbai,New Delhi,3h 20m,1 Stop,"2,326"
488,488.0,IndiGo,6E-2062,"Sun, Feb 20",Bangalore,New Delhi,,,"2,329"
489,489.0,IndiGo,6E-6567,"Sun, Feb 20",Mumbai,New Delhi,3h 50m,,"2,329"
490,490.0,Air Asia,I5-732/829,"Sun, Feb 20",Bangalore,Kolkata,7h 20m,1 Stop,"3,901"
491,491.0,Air Asia,I5-738/548,"Sun, Feb 20",Mumbai,Kolkata,,1 Stop,"3,901"
492,492.0,Air Asia,I5-1427/992,"Wed, Mar 2",Bangalore,Kolkata,,,"3,901"
493,493.0,Air Asia,I5-1732/2472,"Wed, Mar 2",Mumbai,Kolkata,9h 25m,,"3,901"
494,494.0,Air Asia,I5-732/548,"Wed, Mar 2",Bangalore,Kolkata,4h 35m,,"3,901"
495,495.0,Air Asia,I5-320/582,"Wed, Mar 2",Mumbai,Kolkata,11h 35m,,"3,901"
496,496.0,Air Asia,I5-1427/2472,"Wed, Mar 2",Bangalore,Kolkata,10h 15m,2 Stops,"3,901"
497,497.0,IndiGo,6E-453/6016,"Wed, Mar 2",Mumbai,Kolkata,,2 Stops,"4,426"
498,498.0,IndiGo,6E-159/183,"Wed, Mar 2",Bangalore,Kolkata,,2 Stops,"4,426"
499,499.0,IndiGo,6E-6055/146,"Wed, Mar 2",Mumbai,Kolkata,,,"4,440"
500,500.0,IndiGo,6E-925/489,"Wed, Mar 2",Bangalore,Bangalore,32h 15m,,"3,443"
501,501.0,Air India,AI-573,"Wed, Mar 2",Goa,Bangalore,33h 26m,2 Stops,"3,669"
502,502.0,IndiGo,6E-2685/441,"Thu, Mar 10",Bangalore,Bangalore,39h 40m,1 Stop,"3,669"
503,503.0,IndiGo,6E-2163/2188,"Thu, Mar 10",Goa,Bangalore,28h 34m,2 Stops,"3,669"
504,504.0,IndiGo,6E-5004/2028,"Thu, Mar 10",Bangalore,Bangalore,,,"3,669"
505,505.0,IndiGo,6E-432/6319,"Thu, Mar 10",Goa,Bangalore,25h 30m,,"3,669"
506,506.0,IndiGo,6E-432/371,"Thu, Mar 10",Bangalore,Bangalore,36h 19m,2 Stops,"3,669"
507,507.0,IndiGo,6E-432/285,"Thu, Mar 10",Goa,Bangalore,36h 19m,,"3,669"
508,508.0,IndiGo,6E-2163/2028,"Thu, Mar 10",Bangalore,Bangalore,25h 30m,,"3,669"
509,509.0,IndiGo,6E-5004/654,"Thu, Mar 10",Goa,Bangalore,28h 03m,1 Stop,"3,669"
510,510.0,IndiGo,6E-2472/397,"Thu, Mar 10",Bangalore,Lucknow,32h 06m,1 Stop,"2,967"
511,511.0,IndiGo,6E-159/515,"Thu, Mar 10",Goa,Lucknow,33h 26m,1 Stop,"2,967"
512,512.0,IndiGo,6E-2472/2618,"Mon, Feb 21",Bangalore,Lucknow,46h 40m,1 Stop,"2,967"
513,513.0,IndiGo,6E-681/6353,"Mon, Feb 21",Goa,Lucknow,,1 Stop,"2,967"
514,514.0,IndiGo,6E-6745/7074,"Mon, Feb 21",Bangalore,Lucknow,,1 Stop,"2,967"
515,515.0,IndiGo,6E-547/966,"Mon, Feb 21",Goa,Lucknow,22h 40m,1 Stop,"2,967"
516,516.0,IndiGo,6E-2472/2843,"Mon, Feb 21",Bangalore,Lucknow,25h 50m,,"2,967"
517,517.0,IndiGo,6E-6117/7319,"Mon, Feb 21",Goa,Lucknow,24h 55m,,"2,967"
